date,close,volume,open,high,low
1. 8. 2018,300.8400,8768099.0000,297.9900,303.0000,293.0000
31. 7. 2018,298.1400,5055094.0000,292.2500,298.3200,289.0700
30. 7. 2018,290.1700,6799581.0000,295.9000,296.1000,286.1300
27. 7. 2018,297.1800,5694690.0000,307.2500,307.6933,295.3404
26. 7. 2018,306.6500,4619567.0000,304.8500,310.7000,303.6411
25. 7. 2018,308.7400,7031382.0000,296.7400,309.6200,294.5025
24. 7. 2018,297.4300,9586186.0000,304.4209,307.7171,292.5452
23. 7. 2018,303.2000,10974820.0000,301.8400,305.5000,292.8601
20. 7. 2018,313.5800,5159831.0000,321.2300,323.2400,311.7093
19. 7. 2018,320.2300,5907116.0000,316.3300,323.5400,314.0100
18. 7. 2018,323.8500,5610085.0000,325.0000,325.5000,316.2500
17. 7. 2018,322.6900,6987782.0000,308.8100,324.7400,308.5000
16. 7. 2018,310.1000,7800454.0000,311.7100,315.1600,306.2500
13. 7. 2018,318.8700,5866776.0000,315.5800,319.5849,309.2500
12. 7. 2018,316.7100,5711851.0000,321.4300,323.2300,312.7700
11. 7. 2018,318.9600,4878595.0000,315.8000,321.9400,315.0700
10. 7. 2018,322.4700,9437557.0000,324.5600,327.6771,319.2000
9. 7. 2018,318.5100,7579541.0000,311.9900,318.5200,308.0000
6. 7. 2018,308.9000,8860198.0000,304.9550,312.0700,302.0000
5. 7. 2018,309.1600,17457570.0000,313.7600,314.3900,296.2200
3. 7. 2018,310.8600,12282640.0000,331.7500,332.4900,309.6900
2. 7. 2018,335.0700,18732710.0000,360.0700,364.7800,329.8500
29. 6. 2018,342.9500,6475903.0000,353.3300,353.8600,342.4100
28. 6. 2018,349.9300,8388172.0000,348.6600,357.0200,346.1100
27. 6. 2018,344.5000,8313817.0000,345.0000,350.7900,339.5000
26. 6. 2018,342.0000,7434749.0000,336.0540,343.5500,325.7990
25. 6. 2018,333.0100,6925089.0000,330.1200,338.4700,327.5000
22. 6. 2018,333.6300,10253770.0000,351.5400,352.2500,332.0000
21. 6. 2018,347.5100,7949846.0000,362.0000,366.2139,346.2700
20. 6. 2018,362.2200,8370268.0000,358.0400,364.3800,352.0000
19. 6. 2018,352.5500,12734840.0000,365.1600,370.0000,346.2500
18. 6. 2018,370.8300,12025450.0000,355.4000,373.7300,354.5000
15. 6. 2018,358.1700,10827560.0000,353.8400,364.6700,351.2500
14. 6. 2018,357.7200,10961150.0000,347.6300,358.7500,346.6000
13. 6. 2018,344.7800,9401467.0000,346.7060,347.2000,339.8000
12. 6. 2018,342.7700,22256430.0000,344.7000,354.9700,338.0000
