"_id","_index","_score","_type","attributes.address","attributes.cycle_time","attributes.dimming","attributes.fill_color","attributes.icon_name","attributes.machine_status","attributes.nok_parts","attributes.oee_actual","attributes.oee_availability","attributes.oee_performance","attributes.oee_quality","attributes.ok_parts","attributes.part_number","attributes.status","changes.cycle_time","changes.fill_color","changes.machine_status","changes.nok_parts","changes.oee_actual","changes.oee_availability","changes.oee_performance","changes.oee_quality","changes.ok_parts","changes.part_number","changes.status","entity_id","entity_type_id","geom.coordinates","geom.type","interface.thingsboard_uuid",level,"name.en",ts,vendor
"scW6e3QBZZbaXGm-Jacj",entities,,"_doc",,323,,"#e0b87b",machine,OK,3,"72.73",100,"86.36","84.21",16,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:53:50.865",thingsboard
"08W0e3QBZZbaXGm-pp21",entities,,"_doc",,281,,"#e0b87b",machine,OK,3,"72.12",100,"86.54","83.33",15,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:47:50.816",thingsboard
"g8Wwe3QBZZbaXGm-EpW0",entities,,"_doc",,280,,"#e0b87b",machine,OK,3,"70.71",100,"85.86","82.35",14,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:42:50.779",thingsboard
"KcWre3QBZZbaXGm-f43i",entities,,"_doc",,330,,"#e0b87b",machine,OK,3,"69.15",100,"85.11","81.25",13,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:37:51.043",thingsboard
"_cWme3QBZZbaXGm-AIKA",entities,,"_doc",,409,,"#e0b87b",machine,OK,3,"68.18",100,"85.23",80,12,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:31:50.773",thingsboard
"b8Wfe3QBZZbaXGm-l3fc",entities,,"_doc",,385,,"#e0b87b",machine,OK,3,"67.9",100,"86.42","78.57",11,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:24:50.744",thingsboard
"5cWZe3QBZZbaXGm-L2s4",entities,,"_doc",,386,,"#e0b87b",machine,OK,3,"67.57",100,"87.84","76.92",10,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:17:50.757",thingsboard
"ccWSe3QBZZbaXGm-xmB6",entities,,"_doc",,404,,"#e0b87b",machine,OK,3,"67.16",100,"89.55",75,9,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:10:50.720",thingsboard
"EcWMe3QBZZbaXGm-XVXd",entities,,"_doc",,416,,"#e0b87b",machine,OK,3,"66.67",100,"91.67","72.73",8,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 05:03:50.721",thingsboard
"j8WFe3QBZZbaXGm-9Ukl",entities,,"_doc",,388,,"#e0b87b",machine,OK,3,"66.04",100,"94.34",70,7,"IOT_PLC_DALYA",ok,,,,,,,,,,,,841,37,"[""[\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\"",\""[\\\""17.28\\\"",\\\""48.682\\\""]\""]""]",Polygon,,,"Vùstupn‡ kontrola U","Sep 11, 2020 @ 04:56:50.695",thingsboard
