date,temperaturemin,temperaturemax
2007-09-05,66,96.1
2007-09-06,69.1,95
2007-09-07,69.1,93
2007-09-08,64.9,93
2007-09-09,60.1,95
2007-09-10,66.9,100.9
2007-09-11,73.9,99
2007-09-12,66,91
2007-09-13,63,91
2007-09-14,70,82.9
2007-09-15,61,82
2007-09-16,53.1,75
2007-09-17,51.1,75.9
2007-09-18,53.1,78.1
2007-09-19,57,75.9
2007-09-20,64.9,73.9
2007-09-21,66,81
2007-09-22,69.1,91
2007-09-23,66,91.9
2007-09-24,64.9,86
2007-09-25,59,89.1
2007-09-26,63,89.1
2007-09-27,64.9,91
2007-09-28,64,84.9
2007-09-29,50,79
2007-09-30,48,80.1
2007-10-01,53.1,82
2007-10-02,61,82
2007-10-03,63,84.9
2007-10-04,68,87.1
2007-10-05,68,78.1
2007-10-06,68,82.9
2007-10-07,64,90
2007-10-08,64.9,93
2007-10-09,66,93.9
2007-10-10,64,88
2007-10-11,51.1,69.1
2007-10-12,43,73.9
2007-10-13,43,75
2007-10-14,46,78.1
2007-10-15,48,80.1
2007-10-16,51.1,79
2007-10-17,54,84
2007-10-18,63,84.9
2007-10-19,70,84
2007-10-20,50,80.1
2007-10-21,45,81
2007-10-22,55.9,82.9
2007-10-23,64,82.9
2007-10-24,70,78.1
2007-10-25,59,70
2007-10-26,60.1,71.1
2007-10-27,55.9,75
2007-10-28,44.1,64.9
2007-10-29,37,61
2007-10-30,33.1,66.9
2007-10-31,37.9,73.9
2007-11-01,53.1,78.1
2007-11-02,46.9,62.1
2007-11-03,39.9,66
2007-11-04,35.1,66
2007-11-05,36,68
2007-11-06,43,63
2007-11-07,30,55
2007-11-08,32,54
2007-11-09,34,61
2007-11-10,35.1,57.9
2007-11-11,30,57.9
2007-11-12,37,66
2007-11-13,46.9,73.9
2007-11-14,48.9,78.1
2007-11-15,39,66
2007-11-16,34,51.1
2007-11-17,28,60.1
2007-11-18,35.1,70
2007-11-19,46,61
2007-11-20,45,66
2007-11-21,46.9,78.1
2007-11-22,51.1,77
2007-11-23,35.1,51.1
2007-11-24,25,50
2007-11-25,36,48.9
2007-11-26,44.1,64
2007-11-27,39,64
2007-11-28,32,57
2007-11-29,36,63
2007-11-30,32,57
2007-12-01,27,57.9
2007-12-02,33.1,54
2007-12-03,34,62.1
2007-12-04,36,45
2007-12-05,36,53.1
2007-12-06,26.1,45
2007-12-07,25,52
2007-12-08,39.9,71.1
2007-12-09,48.9,72
2007-12-10,55.9,81
2007-12-11,51.1,73.9
2007-12-12,55.9,79
2007-12-13,54,75.9
2007-12-14,46,66.9
2007-12-15,37.9,46.9
2007-12-16,35.1,53.1
2007-12-17,28,44.1
2007-12-18,21,46
2007-12-19,28.9,53.1
2007-12-20,28,57.9
2007-12-21,39.9,48
2007-12-22,43,50
2007-12-23,46.9,66.9
2007-12-24,32,57.9
2007-12-25,30.9,54
2007-12-26,35.1,43
2007-12-27,36,57.9
2007-12-28,36,64
2007-12-29,55,71.1
2007-12-30,46.9,57.9
2007-12-31,36,57
2008-01-01,35.1,55
2008-01-02,25,35.1
2008-01-03,19.9,35.1
2008-01-04,17.1,45
2008-01-05,25,55
2008-01-06,39.9,69.1
2008-01-07,43,72
2008-01-08,50,73
2008-01-09,55.9,73
2008-01-10,46.9,55.9
2008-01-11,48.9,68
2008-01-12,41,57.9
2008-01-13,39,46.9
2008-01-14,30.9,52
2008-01-15,24.1,44.1
2008-01-16,21,46
2008-01-17,34,39
2008-01-18,33.1,51.1
2008-01-19,33.1,42.1
2008-01-20,18,33.1
2008-01-21,15.1,37
2008-01-22,24.1,42.1
2008-01-23,37,54
