date,temperaturemin,temperaturemax
2009-12-21,24.1,48.9
2009-12-22,24.1,48.9
2009-12-23,25,53.1
2009-12-24,27,48
2009-12-25,36,59
2009-12-26,39,53.1
2009-12-27,28,55
2009-12-28,30.9,46
2009-12-29,24.1,42.1
2009-12-30,23,37.9
2009-12-31,32,46
2010-01-01,30.9,48
2010-01-02,21.9,32
2010-01-03,18,32
2010-01-04,17.1,36
2010-01-05,17.1,36
2010-01-06,19,41
2010-01-07,19.9,48
2010-01-08,21.9,42.1
2010-01-09,19.9,37
2010-01-10,19,37
2010-01-11,15.1,45
2010-01-12,28,37.9
2010-01-13,19,46
2010-01-14,23,57
2010-01-15,28,63
2010-01-16,30,62.1
2010-01-17,45,68
2010-01-18,39,62.1
2010-01-19,35.1,66
2010-01-20,37,64.9
2010-01-21,37,41
2010-01-22,37,39.9
2010-01-23,30,50
2010-01-24,39.9,64.9
2010-01-25,46.9,66
2010-01-26,30.9,51.1
2010-01-27,25,51.1
2010-01-28,30,63
2010-01-29,28,46
2010-01-30,19,28
2010-01-31,17.1,37.9
2010-02-01,18,48
2010-02-02,28.9,37
2010-02-03,33.1,51.1
2010-02-04,30,44.1
2010-02-05,33.1,42.1
2010-02-06,30,37
2010-02-07,21.9,42.1
2010-02-08,21.9,46
2010-02-09,32,39.9
2010-02-10,28,37.9
2010-02-11,30,45
2010-02-12,26.1,39
2010-02-13,28,42.1
2010-02-14,24.1,46.9
2010-02-15,28.9,51.1
2010-02-16,27,41
2010-02-17,25,43
2010-02-18,28,50
2010-02-19,25,54
2010-02-20,23,59
2010-02-21,25,64.9
2010-02-22,36,52
2010-02-23,39.9,53.1
2010-02-24,37,48
2010-02-25,30,42.1
2010-02-26,28.9,50
2010-02-27,30,51.1
2010-02-28,26.1,51.1
2010-03-01,28.9,54
2010-03-02,33.1,42.1
2010-03-03,33.1,44.1
2010-03-04,36,51.1
2010-03-05,25,51.1
2010-03-06,28.9,55.9
2010-03-07,24.1,63
2010-03-08,30,66
2010-03-09,35.1,73
2010-03-10,50,69.1
2010-03-11,52,69.1
2010-03-12,57,64
2010-03-13,48.9,68
2010-03-14,45,62.1
2010-03-15,39.9,62.1
2010-03-16,39,52
2010-03-17,35.1,64
2010-03-18,45,68
2010-03-19,37,73.9
2010-03-20,39.9,78.1
2010-03-21,52,69.1
2010-03-22,44.1,66
2010-03-23,39,66
2010-03-24,39,73.9
2010-03-25,48.9,75.9
2010-03-26,36,66.9
2010-03-27,32,57.9
2010-03-28,37.9,69.1
2010-03-29,52,66.9
2010-03-30,51.1,69.1
2010-03-31,41,77
2010-04-01,43,84
2010-04-02,54,88
2010-04-03,55,80.1
2010-04-04,57.9,82.9
2010-04-05,57.9,88
2010-04-06,62.1,90
2010-04-07,61,87.1
2010-04-08,62.1,81
2010-04-09,46,66
2010-04-10,42.1,70
2010-04-11,41,75.9
2010-04-12,46,78.1
2010-04-13,51.1,79
2010-04-14,41,57
2010-04-15,37.9,75
2010-04-16,50,86
2010-04-17,55.9,78.1
2010-04-18,41,66
2010-04-19,39.9,68
2010-04-20,42.1,73.9
2010-04-21,48,64.9
2010-04-22,44.1,75
2010-04-23,48,72
2010-04-24,57,77
2010-04-25,62.1,81
2010-04-26,59,78.1
2010-04-27,50,68
2010-04-28,41,66.9
2010-04-29,37.9,75
2010-04-30,50,82.9
2010-05-01,61,89.1
2010-05-02,72,91.9
2010-05-03,72,78.1
2010-05-04,57.9,82
2010-05-05,55.9,89.1
2010-05-06,68,91.9
2010-05-07,61,90
2010-05-08,62.1,90
2010-05-09,48.9,68
2010-05-10,42.1,68
2010-05-11,55.9,68
2010-05-12,64,84.9
2010-05-13,64,75.9
2010-05-14,64.9,93.9
2010-05-15,68,95
2010-05-16,66.9,82
2010-05-17,55.9,77
2010-05-18,54,63
2010-05-19,57,70
2010-05-20,57.9,79
2010-05-21,54,84
2010-05-22,66,82
2010-05-23,64.9,80.1
2010-05-24,64,73
2010-05-25,64,78.1
2010-05-26,62.1,82.9
2010-05-27,60.1,91
2010-05-28,64,87.1
2010-05-29,64.9,84
2010-05-30,69.1,88
2010-05-31,69.1,88
2010-06-01,69.1,84.9
2010-06-02,71.1,88
2010-06-03,70,89.1
2010-06-04,70,91.9
2010-06-05,73,91.9
2010-06-06,72,93
2010-06-07,64,82
2010-06-08,64,82.9
2010-06-09,68,88
2010-06-10,73.9,91
2010-06-11,70,91
2010-06-12,68,93.9
2010-06-13,72,96.1
2010-06-14,71.1,93
2010-06-15,72,93.9
2010-06-16,73,91
2010-06-17,71.1,91
2010-06-18,69.1,88
2010-06-19,73,93
2010-06-20,72,93.9
2010-06-21,69.1,93
2010-06-22,69.1,98.1
2010-06-23,73,97
2010-06-24,73,99
2010-06-25,77,93.9
2010-06-26,73,97
2010-06-27,73,100.9
2010-06-28,73,99
2010-06-29,75,96.1
2010-06-30,69.1,78.1
2010-07-01,64,81
2010-07-02,57.9,82.9
2010-07-03,57,87.1
2010-07-04,61,93
2010-07-05,64,97
2010-07-06,66,100.9
2010-07-07,69.1,102
2010-07-08,73,99
2010-07-09,72,95
2010-07-10,73.9,91
2010-07-11,73,96.1
2010-07-12,73.9,87.1
2010-07-13,72,93
2010-07-14,72,91.9
2010-07-15,71.1,96.1
2010-07-16,77,97
2010-07-17,72,88
2010-07-18,71.1,95
2010-07-19,75,93
2010-07-20,73,98.1
2010-07-21,75,97
2010-07-22,75,97
2010-07-23,75.9,100
2010-07-24,79,100
2010-07-25,80.1,102
2010-07-26,77,93.9
2010-07-27,72,82.9
2010-07-28,73.9,93.9
2010-07-29,73.9,97
2010-07-30,73,89.1
2010-07-31,64,78.1
2010-08-01,66,79
2010-08-02,70,86
2010-08-03,71.1,91
2010-08-04,73.9,95
2010-08-05,73.9,95
2010-08-06,72,91.9
2010-08-07,72,89.1
2010-08-08,71.1,90
2010-08-09,71.1,93
2010-08-10,73.9,97
2010-08-11,78.1,98.1
2010-08-12,75.9,97
2010-08-13,73.9,88
2010-08-14,73.9,88
2010-08-15,73.9,93
2010-08-16,73.9,95
2010-08-17,73.9,97
2010-08-18,75,96.1
2010-08-19,75,84
2010-08-20,71.1,90
2010-08-21,66.9,90
2010-08-22,73,91
2010-08-23,72,89.1
2010-08-24,70,82.9
2010-08-25,66.9,80.1
2010-08-26,66,90
2010-08-27,66.9,91
2010-08-28,70,90
2010-08-29,66.9,90
2010-08-30,64.9,98.1
2010-08-31,64.9,97
2010-09-01,69.1,95
2010-09-02,66,89.1
2010-09-03,73,99
2010-09-04,59,87.1
2010-09-05,54,87.1
2010-09-06,57.9,90
2010-09-07,66,93.9
2010-09-08,71.1,91
2010-09-09,57.9,91.9
2010-09-10,57.9,88
2010-09-11,66,79
2010-09-12,64.9,88
2010-09-13,63,87.1
2010-09-14,60.1,96.1
2010-09-15,59,93.9
2010-09-16,68,93.9
2010-09-17,73,95
2010-09-18,64.9,87.1
2010-09-19,60.1,93
2010-09-20,64,93
2010-09-21,66.9,89.1
2010-09-22,70,96.1
2010-09-23,71.1,99
2010-09-24,70,96.1
2010-09-25,68,98.1
2010-09-26,68,84
2010-09-27,69.1,75.9
2010-09-28,64,81
2010-09-29,63,69.1
2010-09-30,68,77
2010-10-01,55,78.1
2010-10-02,50,73.9
2010-10-03,50,72
2010-10-04,53.1,68
2010-10-05,46.9,69.1
2010-10-06,44.1,70
2010-10-07,46.9,82
2010-10-08,48,79
2010-10-09,48,84
2010-10-10,52,87.1
2010-10-11,57.9,87.1
2010-10-12,57,88
2010-10-13,62.1,79
2010-10-14,55,71.1
2010-10-15,43,71.1
2010-10-16,42.1,70
2010-10-17,39.9,78.1
2010-10-18,48.9,82
2010-10-19,54,79
2010-10-20,52,64.9
2010-10-21,48.9,78.1
2010-10-22,43,68
2010-10-23,39,73.9
2010-10-24,46.9,78.1
2010-10-25,61,78.1
2010-10-26,64,81
2010-10-27,73,87.1
2010-10-28,61,82
2010-10-29,44.1,62.1
2010-10-30,36,64.9
2010-10-31,44.1,75
2010-11-01,46,63
2010-11-02,41,57.9
2010-11-03,45,55.9
2010-11-04,48,54
2010-11-05,39.9,61
2010-11-06,37.9,53.1
2010-11-07,30,53.1
2010-11-08,30.9,66.9
2010-11-09,37,73
2010-11-10,39.9,70
2010-11-11,39.9,66
2010-11-12,36,66
2010-11-13,32,69.1
2010-11-14,32,70
2010-11-15,39.9,70
2010-11-16,54,66.9
2010-11-17,39.9,64.9
2010-11-18,34,62.1
2010-11-19,34,61
2010-11-20,39.9,69.1
2010-11-21,37.9,69.1
2010-11-22,43,73
2010-11-23,54,77
2010-11-24,46,63
2010-11-25,41,61
2010-11-26,50,66
2010-11-27,34,54
2010-11-28,26.1,52
2010-11-29,27,55
2010-11-30,48.9,72
2010-12-01,30.9,70
2010-12-02,26.1,48.9
2010-12-03,33.1,48.9
2010-12-04,28.9,41
2010-12-05,28.9,41
2010-12-06,25,37.9
2010-12-07,21,35.1
2010-12-08,16,37.9
2010-12-09,19.9,42.1
2010-12-10,24.1,48
2010-12-11,26.1,41
2010-12-12,36,52
2010-12-13,25,36
2010-12-14,16,35.1
2010-12-15,16,37
2010-12-16,28,35.1
2010-12-17,28,43
2010-12-18,28.9,39
2010-12-19,28.9,43
2010-12-20,25,42.1
2010-12-21,28,42.1
2010-12-22,41,52
2010-12-23,32,45
2010-12-24,21.9,46.9
2010-12-25,32,44.1
2010-12-26,26.1,33.1
2010-12-27,19.9,37
2010-12-28,19,46.9
2010-12-29,24.1,46.9
2010-12-30,24.1,46
2010-12-31,28.9,61
2011-01-01,39,63
2011-01-02,37,62.1
2011-01-03,26.1,45
2011-01-04,23,54
2011-01-05,26.1,46
2011-01-06,32,48
2011-01-07,30.9,46
2011-01-08,24.1,44.1
2011-01-09,19,35.1
2011-01-10,26.1,34
2011-01-11,28,32
2011-01-12,26.1,37.9
2011-01-13,19.9,42.1
2011-01-14,19,41
2011-01-15,26.1,50
2011-01-16,25,53.1
2011-01-17,30,46
2011-01-18,32,46.9
2011-01-19,42.1,61
2011-01-20,28,51.1
2011-01-21,28,46.9
2011-01-22,17.1,32
2011-01-23,16,46
2011-01-24,25,39.9
2011-01-25,30,51.1
2011-01-26,37.9,43
2011-01-27,28,48
2011-01-28,28,55.9
2011-01-29,24.1,57.9
2011-01-30,35.1,69.1
2011-01-31,35.1,46.9
2011-02-01,34,53.1
2011-02-02,44.1,68
2011-02-03,32,44.1
2011-02-04,33.1,37
2011-02-05,35.1,48.9
2011-02-06,30,54
2011-02-07,30,57.9
2011-02-08,30,50
2011-02-09,24.1,48
2011-02-10,26.1,46
2011-02-11,21,51.1
2011-02-12,24.1,57
2011-02-13,25,61
2011-02-14,37.9,72
2011-02-15,32,57
2011-02-16,34,63
2011-02-17,39.9,71.1
2011-02-18,52,78.1
2011-02-19,48,68
2011-02-20,30.9,62.1
2011-02-21,44.1,75.9
2011-02-22,33.1,64.9
2011-02-23,28.9,53.1
2011-02-24,37,59
2011-02-25,41,73.9
2011-02-26,33.1,61
2011-02-27,44.1,81
2011-02-28,57,81
2011-03-01,39.9,57
2011-03-02,30,66
2011-03-03,35.1,53.1
2011-03-04,27,61
2011-03-05,43,69.1
2011-03-06,39,64.9
2011-03-07,34,54
2011-03-08,28,57.9
2011-03-09,39,61
2011-03-10,42.1,68
2011-03-11,36,51.1
2011-03-12,30.9,69.1
2011-03-13,45,77
2011-03-14,43,57.9
2011-03-15,42.1,55.9
2011-03-16,46.9,64
2011-03-17,37,70
2011-03-18,46,84.9
2011-03-19,55.9,75
2011-03-20,42.1,60.1
2011-03-21,52,75
2011-03-22,54,84.9
2011-03-23,50,82.9
2011-03-24,50,68
2011-03-25,42.1,57
2011-03-26,39,50
2011-03-27,35.1,39.9
2011-03-28,30.9,48.9
2011-03-29,28.9,62.1
2011-03-30,39.9,48
2011-03-31,39.9,48
2011-04-01,37.9,55
2011-04-02,37,64.9
2011-04-03,33.1,71.1
2011-04-04,55.9,84.9
2011-04-05,46.9,71.1
2011-04-06,34,68
2011-04-07,46,79
2011-04-08,53.1,82
2011-04-09,48,57
2011-04-10,52,72
2011-04-11,60.1,84
2011-04-12,57,73
2011-04-13,46.9,72
2011-04-14,43,75
2011-04-15,48.9,75.9
2011-04-16,55.9,73.9
2011-04-17,45,71.1
2011-04-18,50,80.1
2011-04-19,55.9,84.9
2011-04-20,64,84
2011-04-21,55,73
2011-04-22,51.1,57.9
2011-04-23,54,78.1
2011-04-24,62.1,87.1
2011-04-25,66,84
2011-04-26,68,82.9
2011-04-27,68,87.1
2011-04-28,61,78.1
2011-04-29,52,75.9
2011-04-30,46,77
2011-05-01,54,75
2011-05-02,55.9,82.9
2011-05-03,63,84.9
2011-05-04,50,71.1
2011-05-05,42.1,68
2011-05-06,44.1,72
2011-05-07,53.1,73.9
2011-05-08,53.1,71.1
2011-05-09,50,80.1
2011-05-10,54,82
2011-05-11,57,79
2011-05-12,60.1,66
2011-05-13,62.1,79
2011-05-14,63,79
2011-05-15,63,80.1
2011-05-16,55.9,78.1
2011-05-17,57.9,72
2011-05-18,55,75
2011-05-19,53.1,78.1
2011-05-20,57,82
2011-05-21,55,84
2011-05-22,59,89.1
2011-05-23,66,91
2011-05-24,70,93
2011-05-25,64.9,93
2011-05-26,73,93
2011-05-27,64.9,82
2011-05-28,64.9,86
2011-05-29,70,89.1
2011-05-30,70,93.9
2011-05-31,70,95
2011-06-01,70,95
2011-06-02,70,95
2011-06-03,66,84.9
2011-06-04,55.9,89.1
2011-06-05,69.1,90
2011-06-06,69.1,90
2011-06-07,64,93
2011-06-08,72,97
2011-06-09,73.9,97
2011-06-10,72,96.1
2011-06-11,70,93.9
2011-06-12,66.9,93.9
2011-06-13,69.1,84.9
2011-06-14,64,84
2011-06-15,57.9,82.9
2011-06-16,68,91
2011-06-17,66.9,91.9
2011-06-18,68,95
2011-06-19,66,91.9
2011-06-20,69.1,93
2011-06-21,71.1,95
2011-06-22,72,96.1
2011-06-23,73.9,91.9
2011-06-24,72,96.1
2011-06-25,70,89.1
2011-06-26,68,93.9
2011-06-27,73,93
2011-06-28,72,99
2011-06-29,68,93
2011-06-30,66,91
2011-07-01,64.9,93
2011-07-02,66,95
2011-07-03,72,97
2011-07-04,70,99
2011-07-05,70,91.9
2011-07-06,73,89.1
2011-07-07,70,93.9
2011-07-08,73.9,91.9
2011-07-09,73,89.1
2011-07-10,69.1,91.9
2011-07-11,73.9,96.1
2011-07-12,78.1,100
2011-07-13,75.9,97
2011-07-14,69.1,87.1
2011-07-15,60.1,86
2011-07-16,63,89.1
2011-07-17,68,88
2011-07-18,68,93.9
2011-07-19,70,96.1
2011-07-20,75,100
2011-07-21,77,102
2011-07-22,78.1,102.9
2011-07-23,78.1,102.9
2011-07-24,79,100.9
2011-07-25,73.9,97
2011-07-26,73,93
2011-07-27,73,99
2011-07-28,75,102
2011-07-29,75,104
2011-07-30,75,100
2011-07-31,73,84.9
2011-08-01,71.1,93.9
2011-08-02,70,97
2011-08-03,73,98.1
2011-08-04,77,95
2011-08-05,75.9,89.1
2011-08-06,73,89.1
2011-08-07,75,96.1
2011-08-08,73,96.1
2011-08-09,73,93.9
2011-08-10,70,93.9
2011-08-11,71.1,89.1
2011-08-12,71.1,88
2011-08-13,71.1,82
2011-08-14,64.9,87.1
2011-08-15,64,84.9
2011-08-16,64,88
2011-08-17,64,89.1
2011-08-18,69.1,89.1
2011-08-19,69.1,91
2011-08-20,69.1,89.1
2011-08-21,71.1,91.9
2011-08-22,70,89.1
2011-08-23,66,84
2011-08-24,64.9,88
2011-08-25,72,91
2011-08-26,73.9,89.1
2011-08-27,72,78.1
2011-08-28,69.1,91.9
2011-08-29,66.9,90
2011-08-30,66,82
2011-08-31,62.1,82.9
2011-09-01,60.1,86
2011-09-02,66.9,86
2011-09-03,69.1,87.1
2011-09-04,69.1,88
2011-09-05,72,86
2011-09-06,73.9,88
2011-09-07,69.1,82.9
2011-09-08,63,84
2011-09-09,63,84.9
2011-09-10,64,87.1
2011-09-11,64.9,88
2011-09-12,66,87.1
2011-09-13,63,88
2011-09-14,66,89.1
2011-09-15,57.9,89.1
2011-09-16,55,60.1
2011-09-17,55,61
2011-09-18,57,70
2011-09-19,60.1,75
2011-09-20,64,78.1
2011-09-21,66.9,82.9
2011-09-22,70,82
2011-09-23,66,73.9
2011-09-24,66.9,78.1
2011-09-25,70,80.1
2011-09-26,68,84.9
2011-09-27,73,87.1
2011-09-28,66.9,82.9
2011-09-29,61,84
2011-09-30,55.9,84
2011-10-01,46.9,64
2011-10-02,45,62.1
2011-10-03,42.1,68
2011-10-04,44.1,72
2011-10-05,48.9,77
2011-10-06,50,75
2011-10-07,45,73.9
2011-10-08,46,73
2011-10-09,52,77
2011-10-10,55.9,75
2011-10-11,62.1,66.9
2011-10-12,63,78.1
2011-10-13,66,80.1
2011-10-14,53.1,73.9
2011-10-15,46.9,73.9
2011-10-16,44.1,77
2011-10-17,55,84.9
2011-10-18,59,82.9
2011-10-19,54,68
2011-10-20,45,62.1
2011-10-21,41,66
2011-10-22,43,66.9
2011-10-23,39.9,69.1
2011-10-24,43,72
2011-10-25,45,71.1
2011-10-26,45,75.9
2011-10-27,54,77
2011-10-28,43,63
2011-10-29,34,54
2011-10-30,30,57.9
2011-10-31,34,55.9
2011-11-01,37,61
2011-11-02,34,64
2011-11-03,36,66.9
2011-11-04,46.9,55
2011-11-05,37.9,55
2011-11-06,39.9,64.9
2011-11-07,37.9,71.1
2011-11-08,39.9,70
2011-11-09,39,71.1
2011-11-10,39.9,66.9
2011-11-11,33.1,53.1
2011-11-12,32,64.9
2011-11-13,39.9,66.9
2011-11-14,55.9,75.9
2011-11-15,62.1,78.1
2011-11-16,62.1,79
2011-11-17,34,62.1
2011-11-18,27,51.1
2011-11-19,28,63
2011-11-20,46,73.9
2011-11-21,60.1,77
2011-11-22,61,77
2011-11-23,48.9,73.9
2011-11-24,37.9,64
2011-11-25,35.1,70
2011-11-26,39,70
2011-11-27,51.1,75
2011-11-28,60.1,71.1
2011-11-29,39.9,66.9
2011-11-30,34,53.1
2011-12-01,28.9,55.9
2011-12-02,28.9,64
2011-12-03,35.1,57
2011-12-04,30.9,64
2011-12-05,45,71.1
2011-12-06,60.1,72
2011-12-07,44.1,70
2011-12-08,33.1,51.1
2011-12-09,32,55
2011-12-10,36,53.1
2011-12-11,30,46.9
2011-12-12,32,48
2011-12-13,30.9,63
2011-12-14,39,60.1
2011-12-15,43,68
2011-12-16,43,66
2011-12-17,30.9,48.9
2011-12-18,27,48.9
2011-12-19,28,57.9
2011-12-20,39.9,62.1
2011-12-21,55,64.9
2011-12-22,61,68
2011-12-23,45,68
2011-12-24,36,52
2011-12-25,34,52
2011-12-26,34,54
2011-12-27,42.1,64
2011-12-28,37.9,53.1
2011-12-29,26.1,55.9
2011-12-30,36,62.1
2011-12-31,39.9,64.9
2012-01-01,35.1,68
2012-01-02,32,55
2012-01-03,24.1,35.1
2012-01-04,19,44.1
2012-01-05,30,55
2012-01-06,33.1,66
2012-01-07,39,72
2012-01-08,48,59
2012-01-09,43,48.9
2012-01-10,43,55.9
2012-01-11,44.1,60.1
2012-01-12,44.1,59
2012-01-13,30,55
2012-01-14,23,46
2012-01-15,30,44.1
2012-01-16,27,46.9
2012-01-17,42.1,64.9
2012-01-18,36,57
2012-01-19,27,48.9
2012-01-20,33.1,57
2012-01-21,36,57.9
2012-01-22,32,37
2012-01-23,36,53.1
2012-01-24,43,64
2012-01-25,34,64
2012-01-26,39.9,69.1
2012-01-27,46,69.1
2012-01-28,32,62.1
2012-01-29,32,53.1
2012-01-30,28,60.1
2012-01-31,36,68
2012-02-01,46.9,70
2012-02-02,48.9,69.1
2012-02-03,34,57.9
2012-02-04,37.9,55
2012-02-05,32,50
2012-02-06,30.9,48.9
2012-02-07,32,57
2012-02-08,28.9,51.1
2012-02-09,28,51.1
2012-02-10,28.9,50
2012-02-11,25,48
2012-02-12,21,42.1
2012-02-13,21.9,52
2012-02-14,39,60.1
2012-02-15,41,64
2012-02-16,42.1,57.9
2012-02-17,42.1,63
2012-02-18,39.9,64.9
2012-02-19,33.1,54
2012-02-20,30,48.9
2012-02-21,28,57.9
2012-02-22,41,70
2012-02-23,45,73.9
2012-02-24,50,78.1
2012-02-25,36,53.1
2012-02-26,25,54
2012-02-27,33.1,48.9
2012-02-28,41,66
2012-02-29,48,71.1
2012-03-01,52,80.1
2012-03-02,44.1,61
2012-03-03,51.1,64.9
2012-03-04,34,54
2012-03-05,32,52
2012-03-06,27,54
2012-03-07,34,70
2012-03-08,48,75
2012-03-09,39.9,61
2012-03-10,39,57
2012-03-11,30.9,64
2012-03-12,42.1,73
2012-03-13,57,78.1
2012-03-14,54,84
2012-03-15,54,84
2012-03-16,57.9,80.1
2012-03-17,57.9,79
2012-03-18,57.9,70
2012-03-19,53.1,77
2012-03-20,57.9,81
2012-03-21,60.1,75
2012-03-22,59,80.1
2012-03-23,60.1,82.9
2012-03-24,55.9,71.1
2012-03-25,55.9,68
2012-03-26,53.1,77
2012-03-27,39,62.1
2012-03-28,44.1,78.1
2012-03-29,55.9,82.9
2012-03-30,48.9,77
2012-03-31,59,75.9
2012-04-01,48.9,69.1
2012-04-02,48.9,73
2012-04-03,42.1,77
2012-04-04,57,84.9
2012-04-05,46.9,63
2012-04-06,39.9,63
2012-04-07,37,68
2012-04-08,37.9,75.9
2012-04-09,45,73.9
2012-04-10,46,73.9
2012-04-11,43,57.9
2012-04-12,32,63
2012-04-13,36,69.1
2012-04-14,42.1,75.9
2012-04-15,57.9,81
2012-04-16,60.1,84
2012-04-17,60.1,86
2012-04-18,55,69.1
2012-04-19,52,63
2012-04-20,51.1,73
2012-04-21,55,80.1
2012-04-22,48,62.1
2012-04-23,39.9,51.1
2012-04-24,36,64
2012-04-25,39.9,68
2012-04-26,55.9,77
2012-04-27,59,77
2012-04-28,54,62.1
2012-04-29,55,77
2012-04-30,61,80.1
2012-05-01,66.9,86
2012-05-02,66.9,91
2012-05-03,64,91
2012-05-04,62.1,90
2012-05-05,64,84
2012-05-06,61,73
2012-05-07,57.9,78.1
2012-05-08,61,80.1
2012-05-09,57.9,77
2012-05-10,51.1,72
2012-05-11,46.9,73.9
2012-05-12,46.9,77
2012-05-13,60.1,75
2012-05-14,63,75
2012-05-15,64.9,82.9
2012-05-16,66,82.9
2012-05-17,61,81
2012-05-18,59,77
2012-05-19,54,77
2012-05-20,52,82
2012-05-21,66,82
2012-05-22,62.1,86
2012-05-23,64,84
2012-05-24,64.9,86
2012-05-25,62.1,88
2012-05-26,66,86
2012-05-27,66,86
2012-05-28,72,90
2012-05-29,72,89.1
2012-05-30,64,82
2012-05-31,64,90
2012-06-01,64.9,88
2012-06-02,55.9,75.9
2012-06-03,52,81
2012-06-04,61,82.9
2012-06-05,57,75.9
2012-06-06,57,73.9
2012-06-07,54,81
2012-06-08,57,84
2012-06-09,57,89.1
2012-06-10,64.9,89.1
2012-06-11,71.1,84
2012-06-12,68,82.9
2012-06-13,63,84
2012-06-14,57,79
2012-06-15,59,80.1
2012-06-16,53.1,80.1
2012-06-17,54,81
2012-06-18,63,86
2012-06-19,66.9,91.9
2012-06-20,69.1,93.9
2012-06-21,71.1,96.1
2012-06-22,71.1,95
2012-06-23,70,89.1
2012-06-24,68,91.9
2012-06-25,72,93
2012-06-26,61,81
2012-06-27,55,87.1
2012-06-28,60.1,97
2012-06-29,71.1,105.1
2012-06-30,70,105.1
2012-07-01,75,102.9
2012-07-02,73.9,93.9
2012-07-03,72,100.9
2012-07-04,73,100.9
2012-07-05,72,100.9
2012-07-06,71.1,100
2012-07-07,72,102
2012-07-08,75.9,105.1
2012-07-09,73,96.1
2012-07-10,73,86
2012-07-11,68,80.1
2012-07-12,69.1,82.9
2012-07-13,72,88
2012-07-14,73.9,91.9
2012-07-15,73.9,93.9
2012-07-16,73.9,96.1
2012-07-17,71.1,98.1
2012-07-18,75,98.1
2012-07-19,75.9,99
2012-07-20,73.9,95
2012-07-21,71.1,93
2012-07-22,72,88
2012-07-23,72,96.1
2012-07-24,73,96.1
2012-07-25,70,90
2012-07-26,75.9,98.1
2012-07-27,73.9,99
2012-07-28,68,95
2012-07-29,66.9,91.9
2012-07-30,71.1,89.1
2012-07-31,71.1,88
2012-08-01,72,90
2012-08-02,72,93
2012-08-03,70,93
2012-08-04,75,91.9
2012-08-05,73.9,91.9
2012-08-06,73.9,93
2012-08-07,73.9,87.1
2012-08-08,69.1,89.1
2012-08-09,66,89.1
2012-08-10,72,87.1
2012-08-11,72,88
2012-08-12,71.1,87.1
2012-08-13,66.9,90
2012-08-14,66,91
2012-08-15,71.1,88
2012-08-16,69.1,89.1
2012-08-17,64.9,91.9
2012-08-18,66.9,86
2012-08-19,69.1,75
2012-08-20,66.9,81
2012-08-21,69.1,82
2012-08-22,69.1,81
2012-08-23,66.9,84
2012-08-24,68,77
2012-08-25,63,72
2012-08-26,64.9,84
2012-08-27,70,88
2012-08-28,73,87.1
2012-08-29,70,86
2012-08-30,68,89.1
2012-08-31,71.1,91.9
2012-09-01,73,91.9
2012-09-02,72,88
2012-09-03,71.1,89.1
2012-09-04,73,89.1
2012-09-05,73.9,88
2012-09-06,72,90
2012-09-07,71.1,84.9
2012-09-08,69.1,90
2012-09-09,60.1,79
2012-09-10,55,78.1
2012-09-11,55,78.1
2012-09-12,53.1,79
2012-09-13,55,80.1
2012-09-14,63,80.1
2012-09-15,61,80.1
2012-09-16,59,64.9
2012-09-17,62.1,82
2012-09-18,68,81
2012-09-19,57,72
2012-09-20,53.1,75.9
2012-09-21,55,82
2012-09-22,63,84.9
2012-09-23,53.1,75
2012-09-24,51.1,72
2012-09-25,48,77
2012-09-26,54,82.9
2012-09-27,59,84.9
2012-09-28,62.1,84.9
2012-09-29,60.1,68
2012-09-30,57.9,73
2012-10-01,61,66.9
2012-10-02,66.9,88
2012-10-03,72,86
2012-10-04,64,79
2012-10-05,57,82
2012-10-06,57.9,84
2012-10-07,50,64.9
2012-10-08,46.9,52
2012-10-09,48,57
2012-10-10,54,72
2012-10-11,46,68
2012-10-12,44.1,73
2012-10-13,42.1,66.9
2012-10-14,44.1,78.1
2012-10-15,55.9,73
2012-10-16,44.1,70
2012-10-17,46,72
2012-10-18,48,79
2012-10-19,53.1,78.1
2012-10-20,46,72
2012-10-21,41,68
2012-10-22,42.1,73.9
2012-10-23,46,80.1
2012-10-24,51.1,82
2012-10-25,50,80.1
2012-10-26,57,72
2012-10-27,62.1,66
2012-10-28,51.1,64
2012-10-29,42.1,51.1
2012-10-30,42.1,51.1
2012-10-31,37,55.9
2012-11-01,37.9,57.9
2012-11-02,34,64.9
2012-11-03,34,61
2012-11-04,42.1,55
2012-11-05,37,55
2012-11-06,33.1,46.9
2012-11-07,35.1,54
2012-11-08,34,61
2012-11-09,30.9,64.9
2012-11-10,36,73.9
2012-11-11,39,75
2012-11-12,52,73.9
2012-11-13,39.9,64.9
2012-11-14,33.1,51.1
2012-11-15,37,46
2012-11-16,39,55
2012-11-17,34,55.9
2012-11-18,45,55.9
2012-11-19,46.9,59
2012-11-20,42.1,59
2012-11-21,36,59
2012-11-22,34,61
2012-11-23,28.9,66.9
2012-11-24,32,55
2012-11-25,23,51.1
2012-11-26,30.9,66.9
2012-11-27,42.1,57.9
2012-11-28,28.9,53.1
2012-11-29,25,55
2012-11-30,30.9,63
2012-12-01,34,64.9
2012-12-02,39,69.1
2012-12-03,53.1,75.9
2012-12-04,48.9,71.1
2012-12-05,44.1,64.9
2012-12-06,37,51.1
2012-12-07,45,55.9
2012-12-08,50,66
2012-12-09,51.1,72
2012-12-10,63,72
2012-12-11,50,64.9
2012-12-12,39,50
2012-12-13,33.1,51.1
2012-12-14,27,57.9
2012-12-15,32,57.9
